x,sine,cosine
0.0,0.0,1
0.01,0.061960286300408236,0.9980786156017829
0.02,0.12368247354600313,0.9923218458431429
0.03,0.18492937764158968,0.9827518126592768
0.04,0.24546564089523104,0.9694052914750845
0.05,0.3050586364434435,0.9523335698857134
0.06,0.36347936218244836,0.9316022505701886
0.07,0.4205033207703106,0.9072909991954848
0.08,0.4759113823183197,0.879493238279787
0.09,0.5294906264564881,0.8483157881913526
0.1,0.5810351605373051,0.8138784566625339
0.11,0.6303469108335782,0.7763135783963624
0.12,0.6772363836899712,0.735765506534881
0.13,0.7215233937033103,0.6923900579433949
0.14,0.7630377561334292,0.6463539144422825
0.15,0.8016199408837772,0.5978339822872982
0.16,0.8371216855386975,0.5470167123597323
0.17,0.8694065651016113,0.4940973836787822
0.18,0.8983505162447376,0.43927935298943144
0.19,0.9238423140557778,0.38277327330949534
0.2,0.945783999449539,0.32479628443877623
0.21,0.9640912556020487,0.26557117854101786
0.22,0.9786937319606156,0.20532554400513015
0.23,0.9895353145847385,0.14429089087562869
0.24,0.9965743417790055,0.08270176121306018
0.25,0.999783764189357,0.020794827803092428
0.26,0.9991512487475,-0.041192015322284496
0.27,0.9946792260640379,-0.1030205670565187
0.28,0.9863848810881954,-0.16445323457027694
0.29,0.9743000870700328,-0.22525394632575604
0.3,0.9584712830789142,-0.28518905924502086
0.31,0.9389592955489016,-0.34402825654633445
0.32,0.9158391045368318,-0.4015454327982999
0.33,0.8891995555912937,-0.45751956279075734
0.34,0.859143018339726,-0.5117355508835646
0.35,0.8257849931056082,-0.5639850575694101
0.36,0.7892536670674202,-0.6140673000743729
0.37,0.7496894216649543,-0.6617898239196991
0.38,0.7072442931458978,-0.7069692424798688
0.39,0.6620813883256834,-0.7494319416949984
0.4,0.6143742578057118,-0.7890147472295311
0.41,0.5643062290585114,-0.825565551513484
0.42,0.5120697019426514,-0.8589438982566696
0.43,0.4578654093545673,-0.8890215221897468
0.44,0.4019016458584489,-0.9156828419579948
0.45,0.34439346725839,-0.9388254042737362
0.46,0.28556186418865476,-0.9583602776206348
0.47,0.22563291289776338,-0.9742123939969509
0.48,0.16483690648973987,-0.9863208373845159
0.49,0.10340746996095727,-0.9946390778349068
0.5,0.04158066243329049,-0.9991351502732795
0.51,-0.020405929966510004,-0.9997917773327614
0.52,-0.08231410709537341,-0.9966064357473774
0.53,-0.14390597014198392,-0.9895913660483778
0.54,-0.20494483581691267,-0.9787735255267067
0.55,-0.26519614587177337,-0.9641944846423657
0.56,-0.32442836845234346,-0.9459102672787469
0.57,-0.3824138878219472,-0.9239911354558025
0.58,-0.4389298790361052,-0.8985213193293469
0.59,-0.4937591642072806,-0.8695986935140414
0.6,-0.5466910470692872,-0.83733440097388
0.61,-0.5975221226343256,-0.8018524259254753
0.62,-0.6460570588313259,-0.763289117395379
0.63,-0.6921093471219328,-0.7217926652622981
0.64,-0.7355020192096992,-0.677522530797652
0.65,-0.7760683270883323,-0.6306488338927753
0.66,-0.8136523838157289,-0.5813516993275085
0.67,-0.8481097625514545,-0.5298205645923111
0.68,-0.8793080515556962,-0.47625345192378926
0.69,-0.9071273630169663,-0.42085620735102053
0.7,-0.9314607937532425,-0.3638417096768584
0.71,-0.9522148360161824,-0.30542905243390794
0.72,-0.9693097368197774,-0.24584270195874
0.73,-0.9826798044126412,-0.18531163481965476
0.74,-0.9922736607162224,-0.12406845791266748
0.75,-0.9980544387588794,-0.06234851460699166
0.76,-0.9999999243471311,-0.00038898037488095276
0.77,-0.9981026414296651,0.061572048618877655
0.78,-0.9923698808260745,0.1232964704654711
0.79,-0.9828236722099243,0.18454709248264847
0.8,-0.9695006994538088,0.24508854269136174
0.81,-0.952452159661711,0.3046881742958571
0.82,-0.9317435664303687,0.3631169596915258
0.83,-0.9074544980956697,0.42015037056503496
0.84,-0.879678291931504,0.47556924070472817
0.85,-0.8485216854762045,0.5291606082056949
0.86,-0.814104406364858,0.580718533833149
0.87,-0.7765587122436939,0.6300448923992764
0.88,-0.73602888253452,0.6769501341125399
0.89,-0.6926706640022681,0.7212540129736936
0.9,-0.6466506722561834,0.7627862794194885
0.91,-0.598145751484559,0.8013873345523825
0.92,-0.5473422948834105,0.8369088434422005
0.93,-0.4944355283905146,0.8692143051429795
0.94,-0.4396287604772711,0.8981795772345407
0.95,-0.38313260088125134,0.92369335287311
0.96,-0.32516415128166676,0.9456575885177855
0.97,-0.2659461710278205,0.9639878806891927
0.98,-0.20570622112641473,0.9786137903125475
0.99,-0.14467578977723283,0.9894791133987285
